date,rot_num_away_team,away_team_name,rot_num_home_team,home_team_name,away_team_runline_open,away_team_runline_open_odds,home_team_runline_open,home_team_runline_open_odds,away_team_runline_close,away_team_runline_close_odds,home_team_runline_close,home_team_runline_close_odds,away_team_moneyline_open,home_team_moneyline_open,away_team_moneyline_close,home_team_moneyline_close,over_open,over_open_odds,under_open,under_open_odds,over_close,over_close_odds,under_close,under_close_odds
Tue Jun 07,911,Rangers,912,Guardians,+1,-139,-1,-139,-1.5,+148,-1.5,+165,+105,-125,+115,-120,o9,-118,u9,-100,o9,-105,u9,-106
Tue Jun 07,929,Dodgers,930,White Sox,-1.5,+115,+1.5,+115,-1.5,+130,+1.5,-145,-135,+115,-124,+110,o8.5,-110,u8.5,-110,o8.5,+100,u8.5,-113
Tue Jun 07,915,Blue Jays,916,Royals,-1.5,-110,+1.5,-110,-1.5,+115,+1.5,+126,-190,+160,-140,+200,o8,-115,u8,-105,o9,-102,u8.5,+102
Tue Jun 07,905,Phillies,906,Brewers,+1.5,-190,-1.5,-190,-1.5,+160,-1.5,+176,-110,-110,+102,+160,o8.5,-110,u8.5,-110,o8.5,-110,u8.5,+100
Tue Jun 07,917,Mariners,918,Astros,+1.5,+100,-1.5,+100,+1.5,+110,-1.5,+145,+205,-255,+235,-135,o8.5,100,u8.5,-120,o8.5,+100,u7.5,+105
Tue Jun 07,919,Red Sox,920,Angels,-1.5,+117,+1.5,+117,-1.5,+125,+1.5,-135,-136,+116,-134,+120,o9,-118,u9,100,o9,+100,u8.5,+100
Tue Jun 07,907,Mets,908,Padres,+1.5,-180,-1.5,-180,+1.5,-180,-1.5,+170,+110,-130,+118,-130,o8,-110,u8,-110,o7.5,-105,u7.5,-102
Tue Jun 07,909,Rockies,910,Giants,+1.5,-140,-1.5,-140,+1.5,+105,-1.5,+105,+150,-170,+215,-200,o7.5,-110,u7.5,-110,o8,-105,u7.5,-110
Mon Jun 06,951,Diamondbacks,952,Reds,-1.5,+136,+1.5,+136,-1.5,+170,-1.5,+155,+100,-118,+102,-118,o10,-104,u10,-118,o10,-105,u10,-105
Mon Jun 06,955,Rangers,956,Guardians,-1.5,+168,+1.5,+168,-1.5,+160,-1.5,+170,+100,-118,+104,-120,o8,-112,u8,-108,o9.5,+102,u9,-102
Mon Jun 06,957,Blue Jays,958,Royals,-1.5,-115,+1.5,-115,-2.5,+115,+1.5,+110,-175,+150,-190,+175,o9.5,-110,u9.5,-110,o10,-105,u10,-105
Mon Jun 06,959,Mariners,960,Astros,+1.5,-140,-1.5,-140,+1.5,-130,-1.5,+125,+135,-161,+155,-168,o8.5,-105,u8.5,-115,o8.5,+100,u8,-106
Mon Jun 06,961,Red Sox,962,Angels,+1.5,-170,-1.5,-170,-1.5,+155,-1.5,+163,+115,-133,+110,-120,o8.5,-105,u8.5,-115,o9,+100,u8.5,+105
Mon Jun 06,953,Mets,954,Padres,-1.5,+155,+1.5,+155,-1.5,+184,-1.5,+175,+100,-118,+102,-115,o7.5,100,u7.5,-120,o7.5,-105,u7.5,-105
Sun Jun 05,915,Tigers,916,Yankees,+1.5,-125,-1.5,-125,+1.5,+120,-2.5,+100,+170,-200,+650,-290,o7.5,-115,u7.5,-105,o8.5,-105,u8,-104
Sun Jun 05,917,Guardians,918,Orioles,-1.5,+140,+1.5,+140,-1.5,+145,+1.5,-160,-120,+100,-112,+100,o8.5,-120,u8.5,100,o9,+100,u8.5,+102
Sun Jun 05,901,Diamondbacks,902,Pirates,-1.5,+115,+1.5,+115,-1.5,+120,+1.5,-120,-145,+125,-145,+130,o7.5,-120,u7.5,100,o7.5,+105,u7.5,-108
Sun Jun 05,929,Angels,930,Phillies,-1.5,+150,+1.5,+150,-1.5,+175,-1.5,+170,-110,-110,+108,-122,o8.5,-120,u8.5,100,o8.5,-105,u8.5,+100
